:ID;cite:string
12705224;books/aw/Smith2008
12705225;...
12705226;conf/ches/Weingart00
12705227;journals/pieee/SaltzerS75
12705228;conf/sp/ClarkW87
12705229;conf/sp/BrewerN89
12705230;journals/csur/Landwehr81
12705231;journals/sigops/Lampson74
12705232;journals/cacm/HarrisonRU76
12705233;journals/tods/GriffithsW76
12705234;journals/tods/Fagin78
12705235;journals/tocs/LampsonABW92
12705236;journals/cacm/DennisH66
12705237;journals/cacm/Fabry74
12705238;journals/csur/Linden76
12705239;journals/computer/SandhuCFY96
12705240;journals/computer/Sandhu93
12705241;journals/cacm/Denning76
12705242;conf/crypto/BarkanBK03
12705243;conf/sacrypt/BarkanB05
12705244;journals/joc/BarkanBK08
12705245;conf/indocrypt/BihamD00
12705246;conf/fse/BiryukovSW00
12705247;journals/tit/EkdahlJ03
12705248;conf/sacrypt/MaximovJB04
12705249;conf/stoc/BlumFM88
12705250;journals/siamcomp/BlumSMP91
12705251;conf/stoc/CanettiGGM00
12705252;conf/eurocrypt/Damgard00
12705253;conf/stoc/DworkNS98
12705254;journals/siamcomp/GoldwasserMR89
12705255;journals/jacm/GoldreichMW91
12705256;books/cu/Goldreich2001
12705257;series/synthesis/2008Jaeger
12705258;conf/smc/JiangLYT04
12705259;conf/ipps/Li08a
12705260;conf/cis/LiuH09
12705261;reference/db/LevineM09
12705262;reference/db/CanliK09
12705263;reference/db/Boncz09c
12705264;reference/db/Ahn09
12705265;reference/db/Han09
12705266;journals/tkde/BettiniWJ98
12705267;conf/ictl/Chomicki94
12705268;reference/fai/ChomickiT05
12705269;journals/tods/ChomickiTB01
12705270;conf/vldb/LawWZ04
12705271;books/bc/tanselCGSS93/NavatheA93
12705272;journals/tods/Snodgrass87
12705273;conf/pods/Toman96
12705274;conf/dood/Toman97
12705275;reference/db/Do09
12705276;reference/db/Goda09
12705277;reference/db/Amati09c
12705278;reference/db/Vossen09b
12705279;reference/db/Madden09
12705280;journals/fac/Borger03
12705281;journals/tods/SmithS77
12705282;books/daglib/0001129
12705283;reference/db/Goda09c
12705284;conf/dagstuhl/BettiniDESW97
12705285;conf/dagstuhl/JensenDBCEGGHJKKLMMNPPRSSSSSTTW97
12705286;books/bc/BatiniCN92
12705287;journals/tods/Chen76
12705288;journals/isci/Chen83
12705289;journals/dke/DulleaSL03
12705290;conf/er/Ling85
12705291;journals/csur/TeoreyYF86
12705292;reference/db/Chandy09
12705293;reference/db/AbiteboulBM09
12705294;reference/db/Pitoura09
12705295;journals/nca/HuangCL14a
12705296;journals/eswa/Viejo015
12705297;journals/eswa/LiH09b
12705298;journals/eswa/Kaya09
12705299;journals/eswa/NooriAFA09
12705300;conf/kdd/BradleyFR98
12705301;journals/cacm/BrachmanKKPS96
12705302;books/mit/FayyadPSU96
12705303;journals/cacm/FayyadHS96
12705304;journals/datamine/Friedman97
12705305;journals/datamine/Heckerman97
12705306;conf/edbt/MehtaAR96
12705307;books/mit/PiatetskyF91
12705308;conf/kdd/SilberschatzT95
12705309;journals/datamine/ZhangRL97
12705310;conf/icde/Chomicki92
12705311;conf/ride/Gertz94
12705312;conf/icde/GertzL93
12705313;journals/acta/HulsmannS91
12705314;conf/wg/LipeckF88
12705315;conf/sigmod/Lipeck86
12705316;journals/tcs/Lipeck90
12705317;journals/is/LipeckS87
12705318;journals/toplas/MannaW84
12705319;journals/dke/Saake91
12705320;conf/fmldo/SchwiderskiS92
12705321;journals/cacm/Fox91
12705322;journals/toplas/Ait-KaciBLN89
12705323;journals/tois/ChristodoulakisTHPP86
12705324;journals/tods/Christodoulakis87
12705325;journals/tkde/Deux90
12705326;journals/tois/FordC91
12705327;journals/tois/GemmellC92
12705328;journals/tkde/KimGBW90
12705329;conf/sigmod/WoelkKL86
12705330;conf/ifip/IoannidisL89
12705331;journals/ijcis/IoannidisL92
12705332;journals/sigmod/IoannidisLH92
12705333;conf/vldb/MillerIR93
12705334;conf/ride/MillerIR93
12705335;conf/dbpl/WienerI93
12705336;journals/sigmod/BohmR94
12705337;journals/mta/CarrerLAL97
12705338;journals/sigmod/GroskyFS94
12705339;journals/sigmod/KlasS94
12705340;journals/ieeemm/TonomuraATS94
12705341;books/mk/Cattell94
12705342;journals/tkde/BarbaraGP92
12705343;journals/tods/Lipski79
12705344;conf/icdcs/PuHKWY93
12705345;conf/sigmod/PuL91
12705346;conf/icde/WuYP92
12705347;conf/vldb/Antoshenkov92
12705348;conf/icde/Antoshenkov93
12705349;journals/tods/Babb79
12705350;conf/sigmod/HaasS92
12705351;conf/icde/Graefe94
12705352;conf/sigmod/GraefeW89
12705353;conf/sigmod/IoannidisC91
12705354;conf/sigmod/LiptonNS90
12705355;conf/edbt/MohanHWC90
12705356;conf/vldb/OlkenR89
12705357;conf/sigmod/OlkenRX90
12705358;conf/icde/OlkenR93
12705359;conf/sigmod/SelingerACLP79
12705360;books/aw/Zipf49
12705361;conf/pods/AlonsoBFS97
12705362;journals/vldb/BreitbartGS92
12705363;conf/pos/BlottKRS94
12705364;conf/sigmod/BlottRS96
12705365;conf/vldb/HellersteinNP95
12705366;journals/tods/LehmanY81
12705367;journals/vldb/MehrotraKS97
12705368;journals/is/NorrieW97
12705369;conf/ssd/RellySHN97
12705370;conf/ds/SchekW92
12705371;conf/ssd/SchekW93
12705372;journals/csur/SilberschatzZ96
12705373;conf/icde/Stonebraker86
