:ID;editor:string
12653936;Thomas Wetter
12653937;Rolf Engelbrecht
12653938;Reinhold Haux
12653939;Frank Puppe
12653940;Hans Voß
12653941;Ulrike Weiland
12653942;Bernhard Nebel
12653943;Christof Peltason
12653944;Kai von Luck
12653945;Dieter Baum
12653946;Norbert Th. Müller
12653947;Richard Rödler
12653948;Paul R. McJones
12653949;Mary F. Fernandez
12653950;Jonathan Robie
12653951;Donald D. Chamberlin
12653952;Daniela Florescu
12653953;Jérôme Siméon
12653954;Mugur Stefanescu
12653955;Peter Fankhauser
12653956;Massimo Marchiori
12653957;Mary F. Fernández
12653958;Ashok Malhotra
12653959;Michael Rys
12653960;Philip Wadler
12653961;Klaus Tschira
12653962;Henk C. A. van Tilborg
12653963;Sushil Jajodia
12653964;Amir Hossein Gandomi
12653965;Amir Hossein Alavi
12653966;Conor Ryan
12653967;Juan Carlos Augusto
12653968;Michael Huch
12653969;Achilles Kameas
12653970;Julie Maitland
12653971;Paul J. McCullagh
12653972;Jean Roberts
12653973;Andrew Sixsmith
12653974;Reiner Wichert
12653975;Borko Furht
12653976;Max Mühlhäuser
12653977;Iryna Gurevych
12653978;Wai-Kai Chen
12653979;Sigrid Kelsey
12653980;Kirk St. Amant
12653981;Shimon Y. Nof
12653982;Newton Lee
12653983;Benjamin W. Wah
12653984;Dieter Jaeger
12653985;Ranu Jung
12653986;Phillip A. Laplante
12653987;Rebecca Herold
12653988;Chang-Tsun Li
12653989;Marian Quigley
12653990;Marco Aiello 0001
12653991;Ian Pratt-Hartmann
12653992;Johan van Benthem
12653993;Yin Leng Theng
12653994;Schubert Foo
12653995;Dion Hoe-Lian Goh
12653996;Jin-Cheon Na
12653997;Edmund M. Clarke
12653998;Thomas A. Henzinger
12653999;Helmut Veith
12654000;Roderick Bloem
12654001;Jacob E. Goodman
12654002;Joseph O'Rourke
12654003;David G. Schwartz
12654004;Dov Te'eni
12654005;Miodrag Lovric
12654006;Oded Maimon
12654007;Lior Rokach
12654008;Juan R. Rabuñal
12654009;Julian Dorado
12654010;Alejandro Pazos
12654011;Roberto Tamassia
12654012;Sang Hyuk Son
12654013;Insup Lee
12654014;Joseph Y.-T. Leung
12654015;Paolo Bellavista
12654016;Antonio Corradi
12654017;Ishfaq Ahmad
12654018;Sanjay Ranka
12654019;Edoardo M. Airoldi
12654020;David M. Blei
12654021;Elena A. Erosheva
12654022;Stephen E. Fienberg
12654023;Mohammad Ilyas
12654024;Imad Mahgoub
12654025;Teofilo F. Gonzalez
12654026;Jiacun Wang
12654027;Kelly S. Hale
12654028;Kay M. Stanney
12654029;Charles J. Alpert
12654030;Dinesh P. Mehta
12654031;Sachin S. Sapatnekar
12654032;Harold F. Tipton
12654033;Micki Krause
12654034;Sartaj Sahni
12654035;Burton Rosenberg
12654036;Sanguthevar Rajasekaran
12654037;John H. Reif
12654038;Paul A. Fishwick
12654039;Sankar K. Pal
12654040;Alfredo Petrosino
12654041;Lucia Maddalena 0001
12654042;Azzedine Boukerche
12654043;Munindar P. Singh
12654044;Henri Cohen
12654045;Gerhard Frey
12654046;Roberto Avanzi
12654047;Christophe Doche
12654048;Tanja Lange 0001
12654049;Kim Nguyen
12654050;Frederik Vercauteren
12654051;Constantine Stephanidis
12654052;Kenneth H. Rosen
12654053;John G. Michaels
12654054;Jonathan L. Gross
12654055;Jerrold W. Grossman
12654056;Douglas R. Shier
12654057;Stephan Olariu
12654058;Albert Y. Zomaya
12654059;Richard Zurawski
12654060;Shuvra S. Bhattacharyya
12654061;Ed F. Deprettere
12654062;Rainer Leupers
12654063;Jarmo Takala
12654064;Sherif Sakr
12654065;David S. Doermann
12654066;Karl Tombre
12654067;Claude Sammut
12654068;Geoffrey I. Webb
12654069;Shashi Shekhar
12654070;Hui Xiong 0001
12654071;Xun Zhou
12654072;Eni G. Njoku
12654073;William Sims Bainbridge
12654074;Mihail C. Roco
12654075;Ankur Agarwal
12654076;Janglin Chen
12654077;Wayne Cranton
12654078;Mark Fihn
12654079;Michael Gertz 0001
12654080;Daniele Gianni
12654081;Andrea D'Ambrogio
12654082;Andreas Tolk
12654083;Arthur Tatnall
12654084;Francesco Ricci 0001
12654085;Bracha Shapira
12654086;Paul B. Kantor
12654087;Katsushi Ikeuchi
12654088;Francesca Rossi
12654089;Peter van Beek
12654090;Toby Walsh
12654091;Michael Fisher 0001
12654092;Dov M. Gabbay
12654093;Lluís Vila
12654094;Frank van Harmelen
12654095;Vladimir Lifschitz
12654096;Bruce W. Porter
12654097;Soonhoi Ha
12654098;Jürgen Teich
12654099;Bruno Siciliano
12654100;Oussama Khatib
12654101;Christodoulos A. Floudas
12654102;Panos M. Pardalos
12654103;John Wang
12654104;Demetres D. Kouvatsos
12654105;Stan Z. Li
12654106;Anil K. Jain 0001
12654107;Felix Brandt 0001
12654108;Vincent Conitzer
12654109;Ulle Endriss
12654110;Jérôme Lang
12654111;Ariel D. Procaccia
12654112;Shoba Ranganathan
12654113;Michael Gribskov
12654114;Kenta Nakai
12654115;Christian Schönbach
12654116;Rafael Martí
12654117;Mauricio G. C. Resende
12654118;Samee U. Khan
12654119;Otmar Scherzer
12654120;Janusz Kacprzyk
12654121;Witold Pedrycz
12654122;Erik Blasch
12654123;Sai Ravela
12654124;Alex Aved
12654125;John Domingue
12654126;Dieter Fensel
12654127;James A. Hendler
12654128;Pietro Michelucci
12654129;Aris Gkoulalas-Divanis
12654130;Claudio Bettini
12654131;Birgit Vogel-Heuser
12654132;Thomas Bauernhansl
12654133;Michael ten Hompel
12654134;John Baillieul
12654135;Tariq Samad
12654136;Hossein Bidgoli
12654137;Berthold Vöcking
12654138;Helmut Alt
12654139;Martin Dietzfelbinger
12654140;Rüdiger Reischuk
12654141;Christian Scheideler
12654142;Heribert Vollmer
12654143;Dorothea Wagner
12654144;Ming-Yang Kao
12654145;Grzegorz Rozenberg
12654146;Thomas Bäck
12654147;Joost N. Kok
12654148;Nitin Indurkhya
12654149;Fred J. Damerau
12654150;Peter P. Stavroulakis
12654151;Mark Stamp
12654152;Robert A. Meyers
12654153;Reda Alhajj
12654154;Jon G. Rokne
12654155;Ling Liu
12654156;M. Tamer Özsu
12654157;Arto Salomaa
12654158;David A. Padua
12654159;Ngoc Thanh Nguyen
12654160;Ryszard Kowalczyk
12654161;Marcin Hernes
12654162;Juan M. Corchado
12654163;Javier Bajo
12654164;Cezary Orlowski
12654165;Artur Ziólkowski
12654166;Ana L. N. Fred
12654167;Joaquim Filipe
12654168;Anna Motylska-Kuzma
12654169;Jacek Mercik
12654170;Richard Kowalczyk
12654171;H. Jaap van den Herik
12654172;Ana Paula Rocha 0001
12654173;Fatos Xhafa
12654174;Alexandre Miguel Pinto
12654175;Jorge Cardoso 0001
12654176;Béatrice Duval
12654177;Stéphane Loiseau
12654178;Le Thi Hoai An
12654179;Joanna Kolodziej
12654180;Tadeusz Burczynski
12654181;Marenglen Biba
12654182;Otthein Herzog
12654183;Claus-Rainer Rollinger
12654184;Andreas Podelski
12654185;Nabil R. Adam
12654186;Bharat K. Bhargava
12654187;Neil D. Lawrence
12654188;Anton Schwaighofer
12654189;Joaquin Quiñonero Candela
12654190;Zhigeng Pan
12654191;Adrian David Cheok
12654192;Wolfgang Müller 0004
12654193;Mingmin Zhang
12654194;Maiga Chang
12654195;Abdennour El Rhalibi
12654196;Xiaopeng Zhang 0001
12654197;Kevin Wong
12654198;Kashif Kifayat
12654199;Xubo Yang
12654200;Ido Iurgel
12654201;Paolo Petta
12654202;Bodo Urban
12654203;Fotis Liarokapis
12654204;Per Stenström
12654205;Michael F. P. O'Boyle
12654206;François Bodin
12654207;Marcelo Cintra
12654208;Sally A. McKee
12654209;Cristina Silvano
12654210;Koen Bertels
12654211;Michael J. Schulte
12654212;Abdelkader Hameurlain
12654213;Josef Küng
12654214;Roland R. Wagner
12654215;Ladjel Bellatreche
12654216;Mukesh K. Mohania
12654217;Barbara Catania
12654218;Giovanna Guerrini
12654219;Themis Palpanas
12654220;Jaroslav Pokorný
12654221;Athena Vakali
12654222;Bernd Amann
12654223;Philippe Lamarre
12654224;Tran Khanh Dang
12654225;Nam Thoai
12654226;Qiming Chen
12654227;A. Min Tjoa
12654228;Franck Morvan
12654229;Lynda Tamine
12654230;A Min Tjoa
12654231;Richard Chbeir
12654232;Hendrik Decker
12654233;Lenka Lhotská
12654234;Sebastian Link
12654235;Torben Bach Pedersen
12654236;Alfredo Cuzzocrea
12654237;Umeshwar Dayal
12654238;Amin Anjomshoaa
12654239;Patrick C. K. Hung
12654240;Dominik Kalisch
12654241;Stanislav Sobolevsky
12654242;Stephen W. Liddle
12654243;Klaus-Dieter Schewe
12654244;Xiaofang Zhou 0001
12654245;Lizhe Wang 0001
12654246;Károly Bósa
12654247;Yannis Manolopoulos
12654248;Hiroshi Ishikawa 0004
12654249;Sergio Ilarri
12654250;Apostolos Papadopoulos
12654251;Reza Akbarinia
12654252;Esther Pacitti
12654253;Sven Hartmann
12654254;Hui Ma 0001
12654255;Djamal Benslimane
12654256;Ernesto Damiani
12654257;William I. Grosky
12654258;Imran Razzak
12654259;Riyad Alshammari
12654260;Devis Bianchini
12654261;Valeria De Antonellis
12654262;Roberto De Virgilio
12654263;Sanjay Madria
12654264;Takahiro Hara
12654265;Karine Zeitouni
12654266;Christian Böhm
12654267;Johann Eder
12654268;Claudia Plant
12654269;François Goasdoué
12654270;Bernhard Steffen
12654271;Corrado Priami
12654272;Alexander Zelikovsky
12654273;Ralph-Johan Back
12654274;Ion Petre
12654275;Erik P. de Vink
12654276;Xiaohua Hu 0001
12654277;Yi Pan 0001
12654278;Tsau Young Lin
12654279;Rainer Breitling
12654280;David R. Gilbert
12654281;Monika Heiner
12654282;Adelinde M. Uhrmacher
12654283;Gordon D. Plotkin
12654284;Anna Ingólfsdóttir
12654285;Bud Mishra
12654286;Hanne Riis Nielson
12654287;Luca Cardelli
12654288;Stephen Emmott
12654289;Emanuela Merelli
12654290;Pedro Pablo González Pérez
12654291;Andrea Omicini
12654292;Falko Dressler
12654293;Özgür B. Akan
12654294;Alioune Ngom
12654295;Antonio Miele
12654296;Martin A. Trefzer
12654297;S. Saqib Khursheed
12654298;Andreas W. M. Dress
12654299;Michal Linial
12654300;Olga G. Troyanskaya
12654301;Martin Vingron
12654302;James Noble 0001
12654303;Ralph E. Johnson
12654304;Uwe Zdun
12654305;Eugene Wallingford
12654306;Ralph Johnson
12654307;Paris Avgeriou
12654308;Neil B. Harrison
12654309;Yun Q. Shi 0001
12654310;Stefan Katzenbeisser 0001
12654311;Sabu Emmanuel
12654312;Mohan S. Kankanhalli
12654313;Shih-Fu Chang
12654314;Regunathan Radhakrishnan
12654315;Fulong Ma
12654316;Li Zhao
12654317;Feng Liu 0001
12654318;WeiQi Yan 0001
12654319;Sara Johansson 0001
12654320;Jimmy Johansson 0001
12654321;James F. Peters
12654322;Andrzej Skowron
12654323;Chien-Chung Chan
12654324;Jerzy W. Grzymala-Busse
12654325;Wojciech Ziarko
12654326;Sheela Ramanna
12654327;Zbigniew Suraj
12654328;Xin Wang 0004
12654329;Didier Dubois
12654330;Masahiro Inuiguchi
12654331;Lech Polkowski
12654332;Henryk Rybinski
12654333;Roman Slowinski
12654334;Pawan Lingras
12654335;Duoqian Miao
12654336;Shusaku Tsumoto
12654337;Bozena Kostek
12654338;Roman W. Swiniarski
12654339;Marcin S. Szczuka
12654340;Marcin Wolski
12654341;Mihir K. Chakraborty
12654342;Wei-Zhi Wu
12654343;Dominik Slezak
12654344;Hung Son Nguyen
12654345;Jan G. Bazan
12654346;Victor W. Marek
12654347;Ewa Orlowska
12654348;Ivo Düntsch
12654349;Hiroshi Sakai
12654350;Aboul Ella Hassanien
12654351;William Zhu 0001
12654352;Tianrui Li 0001
12654353;Yan Yang 0001
12654354;JingTao Yao 0001
12654355;Kohei Honda
12654356;Alan Mycroft
12654357;Gabriel Ciobanu
12654358;Bara Buhnova
12654359;Lucia Happe
12654360;Jan Kofron
12654361;Temesghen Kahsai
12654362;Germán Vidal
12654363;Tom Van Cutsem
12654364;Mark S. Miller
12654365;Elaine Pimentel
12654366;Betti Venneri
12654367;Joe B. Wells
12654368;Patricia Bouyer
12654369;Andrea Orlandini
12654370;Pierluigi San Pietro
12654371;Tom Hirschowitz
12654372;Dimitrios Kartsaklis
12654373;Martha Lewis
12654374;Laura Rimell
12654375;Iliano Cervesato
12654376;Kaustuv Chaudhuri
12654377;Ulrich Kohlenbach
12654378;Steffen van Bakel
12654379;Stefano Berardi
12654380;Axel Legay
12654381;Benoît Caillaud
12654382;Giuseppe Di Molfetta
12654383;Vivien M. Kendon
12654384;Yutaka Shikano
12654385;Catherine Dubois
12654386;Dimitra Giannakopoulou
12654387;Dominique Méry
12654388;Sibylle B. Fröschle
12654389;Daniele Gorla
12654390;Zoltán Ésik
12654391;Zoltán Fülöp 0001
12654392;Timo Kehrer
12654393;Alice Miller 0001
12654394;Maribel Fernández
12654395;Ian Mackie
12654396;Evangelos Markakis
12654397;Ioannis Milis
12654398;Olivier Danvy
12654399;Chung-chieh Shan
12654400;Bob Coecke
12654401;Ichiro Hasuo
12654402;Prakash Panangaden
12654403;Ernesto Pimentel 0001
12654404;Valentín Valero
12654405;Ugo de'Liguoro
12654406;Joachim Niehren
12654407;David Sabel
12654408;Razieh Behjati
12654409;Ahmed Elmokashfi
12654410;Serge Autexier
12654411;Pedro Quaresma
12654412;Joanne M. Atlee
12654413;Stefania Gnesi
12654414;David S. Hardin
12654415;Julien Schmaltz
12654416;Hélène Kirchner
12654417;César A. Muñoz
12654418;Mohammad Reza Mousavi 0001
12654419;António Ravara
12654420;Kenichi Asai
12654421;Mark R. Shinwell
12654422;Mauricio Ayala-Rincón
12654423;Eduardo Bonelli
12654424;Ruzica Piskac
12654425;Rayna Dimitrova
12654426;Nathalie Bertrand 0001
12654427;Mirco Tribastone
12654428;Luca Bortolussi
12654429;Yuliya Lierler
12654430;José F. Morales 0001
12654431;Carmine Dodaro
12654432;Verónica Dahl
12654433;Martin Gebser
12654434;Tuncay Tekle
12654435;Gabriele Puppis
12654436;Tiziano Villa
12654437;Mario Gleirscher
12654438;Stefan Kugele
12654439;Sven Linker
12654440;Thomas Ehrhard
12654441;Valeria de Paiva
12654442;Lorenzo Tortora de Falco
12654443;Paulo Oliva
12654444;Clément Aubert
12654445;Cinzia Di Giusto
12654446;Larisa Safina
12654447;Alceste Scalas
12654448;Javier Cámara
12654449;Carlos Canal
12654450;Gwen Salaün
12654451;Jeremy W. Bryans
12654452;John S. Fitzgerald
12654453;Horatiu Cirstea
12654454;Manuela-Luminita Bujorianu
12654455;Jan Bouda
12654456;Lukás Holík
12654457;Jan Strejcek
12654458;Adam Rambousek
12654459;Jorge A. Pérez 0001
12654460;Simone Tini
12654461;John Derrick
12654462;Eerke A. Boiten
12654463;Steve Reeves
12654464;S. Barry Cooper
12654465;Elham Kashefi
12654466;Emanuele De Angelis
12654467;Grigory Fedyukovich
12654468;Nikos Tzevelekos
