:ID;journal:string
12649647;meltdownattack.com
12649648;GTE Laboratories Incorporated
12649649;University of California at Berkeley
12649650;ANSI X3H2
12649651;ANSI X2H2
12649652;IWBS Report
12649653;LILOG-Report
12649654;LILOG-Memo
12649655;IBM Publication
12649656;Research Report / RJ / IBM / San Jose, California
12649657;Research Report / G / IBM / Cambridge Scientific Center
12649658;Universität Trier, Mathematik/Informatik, Forschungsbericht
12649659;Technical Report
12649660;Digital System Research Center Report
12649661;Compulog Newsletter
12649662;Hydrology and Earth System Sciences
12649663;Technical Rep. UKSC 0060, IBM United Kingdom Scientific Centre
12649664;ETH Zurich, Department of Computer Science / Technical Report
12649665;Sci. Eng. Ethics
12649666;J. Econ. Theory
12649667;Web Intell. Agent Syst.
12649668;Web Intell.
12649669;IEEE Trans. Hum. Mach. Syst.
12649670;Comput. Chem. Eng.
12649671;IEEE Control. Syst. Lett.
12649672;Inf. Knowl. Syst. Manag.
12649673;Internet Math.
12649674;Int. J. Web Inf. Syst.
12649675;Manag. Sci.
12649676;Simul.
12649677;Rev. Iberoam. de Tecnol. del Aprendiz.
12649678;Dyn. Games Appl.
12649679;Bus. Inf. Syst. Eng.
12649680;Int. J. Adapt. Resilient Auton. Syst.
12649681;J. Sci. Res.
12649682;J. Braz. Comput. Soc.
12649683;J. Appl. Comput. Topol.
12649684;Reliab. Comput.
12649685;Int. J. Intell. Syst. Technol. Appl.
12649686;Frontiers Blockchain
12649687;Int. J. Secur. Softw. Eng.
12649688;Des. Autom. Embed. Syst.
12649689;Comput. Phys. Commun.
12649690;Open J. Big Data
12649691;Decis. Support Syst.
12649692;Intell. Serv. Robotics
12649693;Rev. Avances en Sistemas Informática
12649694;Proc. ACM Meas. Anal. Comput. Syst.
12649695;IEEE Trans. Veh. Technol.
12649696;J. Assoc. Inf. Sci. Technol.
12649697;J. Am. Soc. Inf. Sci.
12649698;JASIS
12649699;Proc. ACM Program. Lang.
12649700;Comput. Math. Methods
12649701;ACM SIGLOG News
12649702;Soc. Choice Welf.
12649703;Risk Decis. Anal.
12649704;CLEI Electron. J.
12649705;SIGARCH Comput. Archit. News
12649706;J. Embed. Comput.
12649707;Technometrics
12649708;Big Data Res.
12649709;Neural Comput. Appl.
12649710;Electron. Notes Discret. Math.
12649711;J. Exp. Theor. Artif. Intell.
12649712;Inteligencia Artif.
12649713;Int. J. Concept. Struct. Smart Appl.
12649714;Trans. Comput. Collect. Intell.
12649715;J. Inf. Secur. Appl.
12649716;Inf. Secur. Tech. Rep.
12649717;Int. J. Softw. Innov.
12649718;Fundam. Informaticae
12649719;Fundam. Inform.
12649720;Expert Syst. Appl.
12649721;J. Nonlinear Sci.
12649722;Int. J. Comput. Sci. Eng.
12649723;BioData Min.
12649724;IEEE Trans. Prof. Commun.
12649725;Adv. Softw. Eng.
12649726;Int. J. Inf. Syst. Serv. Sect.
12649727;J. Inf. Hiding Multim. Signal Process.
12649728;J. Geogr. Syst.
12649729;IEEE Trans. Multi Scale Comput. Syst.
12649730;Int. J. Commun. Syst.
12649731;Int. J. Autom. Control.
12649732;Int. J. Cyber Phys. Syst.
12649733;Discret. Event Dyn. Syst.
12649734;Turkish J. Electr. Eng. Comput. Sci.
12649735;J. Comb. Theory, Ser. B
12649736;OMICS
12649737;Knowl. Eng. Data Sci.
