:ID;publisher:string
12651600;ACM Press and IEEE Computer Society Press
12651601;IBM Germany Science Center, Institute for Knowledge Based Systems
12651602;IBM Deutschland GmbH
12651603;IBM Corporation, White Plains, NY
12651604;IBM Cambridge Scientific Center
12651605;Institute of Computing, University of Campinas, Campinas, Brazil
12651606;Peer-to-Peer Communications
12651607;Springer
12651608;IOS Press
12651609;IGI Global
12651610;CRC Press
12651611;John Wiley & Sons, Inc.
12651612;Taylor & Francis
12651613;Chapman and Hall/CRC
12651614;Auerbach Publications/CRC
12651615;Auerbach Publications
12651616;Auerbach Publ./CRC Press
12651617;Springer International Publishing
12651618;Elsevier
12651619;Springer US
12651620;Cambridge University Press
12651621;Academic Press
12651622;JMLR.org
12651623;World Scientific
12651624;GI
12651625;WorldScientific
12651626;USENIX Association
12651627;Atlantis Press
12651628;Morgan & Claypool Publishers
12651629;Cépaduès-Éditions
12651630;Hermann-Éditions
12651631;Éditions RNTI
12651632;Kluwer
12651633;Kluwer / Springer
12651634;Springer Vieweg
12651635;iospress
12651636;Springer / Atlantis Press
12651637;Eyrolles
12651638;GMD
12651639;Addison-Wesley
12651640;PWS Publishing Company
12651641;dpunkt.verlag
12651642;Vieweg
12651643;de Gruyter
12651644;Wiley
12651645;Prentice Hall
12651646;Plenum Press
12651647;O'Reilly
12651648;Spitz-Verlag
12651649;North-Holland
12651650;McGraw-Hill
12651651;Birkhäuser
12651652;SIAM
12651653;Pearson Studium
12651654;AK Peters
12651655;Indiana University Press
12651656;Oxford University Press
12651657;Edition Körber Stiftung
12651658;Verlag Technik
12651659;ACM
12651660;EPFL Press
12651661;vdf
12651662;Yourdon Press
12651663;IEEE
12651664;Vieweg+Teubner
12651665;Teubner
12651666;A K Peters
12651667;VDM
12651668;Infix
12651669;Morgan Kaufmann
12651670;Univeristätsverlag Karlsruhe
12651671;Springer Berlin Heidelberg
12651672;Pearson Education
12651673;Heise
12651674;dpunkt
12651675;Saur
12651676;BI-Wissenschaftsverlag
12651677;Macmillan
12651678;Irwin
12651679;Fink
12651680;Dekker
12651681;MIT Press
12651682;Artech House
12651683;Clarendon Press
12651684;Omnigena Verlag
12651685;Infix Akademische Verlagsgesellschaft
12651686;Oldenbourg
12651687;International Thomson
12651688;Hanser
12651689;Auerbach Publ.
12651690;Cybertech Publishing
12651691;Univ. Twente
12651692;Dover Publications
12651693;CSLI Publications
12651694;Universiteit Amsterdam
12651695;Pearson / Addison Wesley
12651696;Sybex
12651697;Rowman & Littlefield
12651698;Univ. Nijmegen
12651699;Campus-Verl.
12651700;Sigma Press
12651701;van Haren Publishing
12651702;Spektrum
12651703;Wissenschaftliche Buchgesellschaft
12651704;Fischer
12651705;MITP
12651706;SpringerVieweg
12651707;Addison-Wesley-Longman
12651708;Markt und Technik
12651709;QUE
12651710;Deutscher Universitätsverlag
12651711;Coronet Books Hodder & Stoughton
12651712;Lawrence Erlbaum
12651713;Minerva-Publikation
12651714;Thomson
12651715;LAP Lambert Academic Publishing
12651716;Chapman & Hall
12651717;American Mathematical Society
12651718;Universiteit Twente
12651719;Information Science Reference
12651720;Ablex Publishing Corporation
12651721;Internat. Thomson Publ.
12651722;DUV
12651723;De Gruyter
12651724;Ecole Normale Supérieure de Lyon
12651725;Chapman&Hall/CRC Press
12651726;Jones and Bartlett Publishers
12651727;Van Nostrand Reinhold
12651728;SpringerGabler
12651729;North Oxford Acad.
12651730;Wichmann
12651731;Elsevier Morgan Kaufmann
12651732;Palgrave Macmillan
12651733;ISO/AFNOR
12651734;Galileo Business
12651735;Manning
12651736;Shaker
12651737;Network Theory Ltd
12651738;Pitman
12651739;InterEditions
12651740;VDI-Verlag
12651741;Chapman and Hall
12651742;Hüthig
12651743;Cold Spring Harbor Laboratory Press
12651744;Microsoft Press
12651745;College Publications
12651746;Diss.-Verl. NG Kopierladen
12651747;Science Press
12651748;Apress
12651749;Routledge
12651750;VolkswagenStiftung
12651751;Wiley-VCH
12651752;Sage Publications
12651753;Gabler
12651754;Wadsworth
12651755;Harvester Wheatsheaf
12651756;Information Geometers Ltd
12651757;Der Andere Verlag
12651758;IT Press
12651759;Mainz
12651760;Wolters Kluwer Law
12651761;Logos
12651762;Dt. Taschenbuch-Verlag
12651763;HarperCollins
12651764;"Addison-Wesley-Longman; ACM Press"
12651765;Bundesministerium für Wirtschaft
12651766;Benjamin/Cummings
12651767;University
12651768;Primus
12651769;Addison Wesley
12651770;Heldermann
12651771;Turing Institute Pr.
12651772;Kovač
12651773;Physica-Verlag
12651774;Princeton University Press
12651775;Athena Scientific
