:ID;series:string
12701184;Universität Trier, Mathematik/Informatik, Forschungsbericht
12701185;Computer classics revisited
12701186;Ambient Intelligence and Smart Environments
12701187;Springer Handbooks
12701188;Foundations of Artificial Intelligence
12701189;Lecture Notes in Computer Science
12701190;Springer Reference Technik
12701191;eXamen.press
12701192;JMLR Proceedings
12701193;EPTCS
12701194;Advances in Pattern Recognition
12701195;Advances in Computer Vision and Pattern Recognition
12701196;Science, Engineering, and Biology Informatics
12701197;NASA Monographs in Systems and Software Engineering
12701198;LNI
12701199;Wireless Networks
12701200;Semantic Web and Beyond: Computing for Human Experience
12701201;Texts in Computer Science
12701202;Graduate Texts in Computer Science
12701203;Studies in Computational Intelligence
12701204;Springer Briefs in Electrical and Computer Engineering
12701205;Series on Quality, Reliability and Engineering Statistics
12701206;Handbook of the History of Logic
12701207;Lecture Notes on Data Engineering and Communications Technologies
12701208;Information Security and Cryptography
12701209;Human-Computer Interaction Series
12701210;Cognitive Systems Monographs
12701211;Short Topics in System Administration
12701212;VDI-Buch
12701213;Advances in Fuzzy Systems - Applications and Theory
12701214;IFIP Advances in Information and Communication Technology
12701215;IFIP State-of-the-Art Reports
12701216;IFIP Series on Computer Graphics
12701217;Atlantis Ambient and Pervasive Intelligence
12701218;Argumentation Library
12701219;Vector Optimization
12701220;AMAST Series in Computing
12701221;Series in Intelligent Control and Intelligent Automation
12701222;Springer Briefs in Business Process Management
12701223;Computer Supported Cooperative Work
12701224;Computational Music Science
12701225;Synthesis Lectures on Quantum Computing
12701226;Synthesis Lectures on Digital Circuits and Systems
12701227;Synthesis Lectures on Emerging Engineering Technologies
12701228;Synthesis Lectures on Human-Centered Informatics
12701229;Synthesis Lectures on Advances in Automotive Technology
12701230;Synthesis Lectures on Engineering
12701231;Synthesis Lectures on Communication Networks
12701232;Synthesis Lectures on Computer Science
12701233;Synthesis Lectures on Energy and the Environment: Technology, Science, and Society
12701234;Synthesis Lectures on Algorithms and Software in Engineering
12701235;Synthesis Lectures on Artificial Intelligence and Machine Learning
12701236;Synthesis Lectures on Information Concepts, Retrieval, and Services
12701237;Synthesis Lectures on Biomedical Engineering
12701238;Synthesis Lectures on Global Engineering
12701239;Synthesis Lectures on Computer Architecture
12701240;Synthesis Lectures on Computational Electromagnetics
12701241;Synthesis Lectures on Distributed Computing Theory
12701242;Synthesis Lectures on Antennas
12701243;Synthesis Lectures on Signal Processing
12701244;Synthesis Lectures on Human Language Technologies
12701245;Synthesis Lectures on Information Security, Privacy, and Trust
12701246;Synthesis Lectures on Data Mining and Knowledge Discovery
12701247;Synthesis Lectures on Professionalism and Career Advancement for Scientists and Engineers
12701248;Synthesis Lectures on Data Management
12701249;Synthesis Lectures on Engineers, Technology and Society
12701250;Synthesis Lectures on Visual Computing
12701251;Synthesis Lectures on the Semantic Web
12701252;Synthesis Lectures on Computer Vision
12701253;Synthesis Lectures on Technology, Management, and Entrepreneurship
12701254;Synthesis Lectures on Data, Semantics, and Knowledge
12701255;Synthesis Lectures on Computer Graphics and Animation
12701256;Synthesis Lectures on the Semantic Web: Theory and Technology
12701257;Synthesis Lectures on Image, Video, and Multimedia Processing
12701258;Synthesis Lectures on Visualization
12701259;Synthesis Lectures on Engineering, Science, and Technology
12701260;Synthesis Lectures on Games and Computational Intelligence
12701261;Synthesis Lectures on Speech and Audio Processing
12701262;Synthesis Lectures on Mathematics & Statistics
12701263;Synthesis Lectures on Ocean Systems Engineering
12701264;Synthesis Lectures on Nuclear Technology and Society
12701265;Synthesis Lectures on Mobile and Pervasive Computing
12701266;Synthesis Lectures on Communications
12701267;Synthesis Lectures on Power Electronics
12701268;Synthesis Lectures on Sustainable Development
12701269;Synthesis Lectures on Control and Mechatronics
12701270;Synthesis Lectures on The Semantic Web
12701271;Synthesis Lectures on Theoretical Computer Science
12701272;Synthesis Lectures on Software Engineering
12701273;Synthesis Lectures on Learning, Networks, and Algorithms
12701274;Synthesis Lectures on Electromagnetics
12701275;Synthesis Lectures on Assistive, Rehabilitative, and Health-Preserving Technologies
12701276;Synthesis Lectures on Information Security, Privacy, & Trust
12701277;Synthesis Lectures on Electrical Engineering
12701278;Synthesis Lectures on Solid State Materials and Devices
12701279;Case Studies in Engineering
12701280;Synthesis Lectures on RF/Microwaves
12701281;Synthesis Lectures on Mathematics and Statistics
12701282;Synthesis Lectures on Emerging Trends in Librarianship
12701283;Synthesis Lectures on Network Systems
12701284;Synthesis Lectures on Chemical Engineering and Biochemical Engineering
12701285;Synthesis Lectures on Computation and Analytics
12701286;Synthesis Lectures on Chemical and Biochemical Engineering
12701287;World Scientific Series in Robotics and Intelligent Systems
12701288;RNTI
12701289;Revue des Nouvelles Technologies de l'Information
12701290;Monographs in Computer Science
12701291;Texts and Monographs in Computer Science
12701292;International Handbooks on Information Systems
12701293;Frontiers in Artificial Intelligence and Applications
12701294;Geometry and Computing
12701295;Advances in Information Security
12701296;Lecture Notes in Electrical Engineering
12701297;Cognitive Technologies
12701298;Advances in Database Systems
12701299;X.media.publishing
12701300;Advances in Logic
12701301;World Scientific Series in Computer Science
12701302;Communications and Signal Processing
12701303;Cognitive Intelligence and Robotics
12701304;Studies in Fuzziness and Soft Computing
12701305;Series on Software Engineering and Knowledge Engineering
12701306;History of Computing
12701307;Springer Briefs in Computer Science
12701308;Atlantis Thinking Machines
12701309;Texts & Monographs in Symbolic Computation
12701310;Xpert.press
12701311;Natural Computing Series
12701312;Computer Communications and Networks
12701313;Advanced Information and Knowledge Processing
12701314;Intelligent Systems Reference Library
12701315;Series in Machine Perception and Artificial Intelligence
12701316;Series in Electrical and Computer Engineering
12701317;Advances in Parallel Computing
12701318;Studies on the Semantic Web
12701319;Methods in Molecular Biology
12701320;Computational Risk Management
12701321;Undergraduate Topics in Computer Science
12701322;Smart Innovation, Systems and Technologies
12701323;Springer Briefs in Complexity
12701324;Springer Briefs in Cybersecurity
12701325;Advances in Intelligent and Soft Computing
12701326;Advances in Soft Computing
12701327;Advances in Intelligent Systems and Computing
12701328;Monographs in Theoretical Computer Science. An EATCS Series
12701329;EATCS Monographs on Theoretical Computer Science
12701330;Communications in Computer and Information Science
12701331;NATO Science for Peace and Security Series - D: Information and Communication Security
12701332;NATO Science for Peace and Security Series, D: Information and Communication Security
12701333;Annals of Information Systems
12701334;Lecture Notes in Logistics
12701335;Lecture Notes in Mathematics
12701336;Texts in Theoretical Computer Science. An EATCS Series
12701337;Lecture Notes in Business Information Processing
12701338;Lecture Notes in Social Networks
12701339;Logic, Epistemology, and the Unity of Science
