orcid;author
11343;Paul Kocher
11344;Daniel Genkin
11345;Daniel Gruss
11346;Werner Haas 0004
11347;Mike Hamburg
11348;Moritz Lipp
11349;Stefan Mangard
11350;Thomas Prescher 0002
11351;Michael Schwarz 0001
11352;Yuval Yarom
11353;Frank Manola
11354;Michael L. Brodie
11355;Michael Stonebraker
11356;Mark F. Hornick
11357;Joe D. Morrison
11358;Farshad Nayeri
11359;Alejandro P. Buchmann
11360;M. Tamer Özsu
11361;Dimitrios Georgakopoulos
11362;Sandra Heiler
11363;Benjamin Hurwitz
11364;David Beech
11365;Cetin Ozbutun
11366;Krishna G. Kulkarni
11367;Jim Melton
11368;Jonathan Bauer
11369;Mike Kelley
11370;Phil Shaw
11371;Rolf Sander
11372;Thomas Ludwig 0001
11373;Werner Emde
11374;Claus-Rainer Rollinger
11375;Christoph Beierle
11376;Udo Pletat
11377;Hans Uszkoreit
11378;Ulrike Rackow
11379;Ido Dagan
11380;Ulrike Schwall
11381;Brigitte Bartsch-Spörl
11382;Erich Gehlen
11383;Burkhard Kehrbusch
11384;Markus Höhfeld
11385;Gert Smolka
11386;Birgit Wesche
11387;Christopher Habel
11388;Bernd Walter
11389;Michael Ley
11390;Albert Maier
11391;Stefan Benzschawel
11392;Egon Börger
11393;Roland Seiffert
11394;Gisela Schöpke
11395;Stefan Böttcher
11396;Rudi Studer
11397;Toni Bollinger
11398;Carola Eschenbach
11399;Manfred Schmidt-Schauß
11400;Hans-Joachim Goltz
11401;Otthein Herzog
11402;Bernhard Beckert
11403;Stefan J. Schierholz
11404;Birgit Wendholt
11405;Gudrun Klose
11406;Michael Herweg
11407;Mohammed Nadjib Khenkhar
11408;Simone Pribbenow
11409;Klaus Rehkämper
11410;Anja Theuner
11411;Peter H. Schmitt
11412;Claudia Maienborn
11413;Brigitte Bläser
11414;Angelika Storrer
11415;Esther König
11416;Claudia Mrotzek
11417;Stefan Börner
11418;Lutz Voelkel
11419;Kai-Uwe Carstensen
