bookid;author;title;crossref;editors;editor_ids;ee;eetype;isbn;key;mdate;note;pages;publisher;series;series_href;title2;url;volume;year
2;;;;;;https://doi.org/10.1145/2534860|https://www.wikidata.org/entity/Q107021707;;978-1-4503-2309-3;tr/acm/CS2013;2021-07-31;;;ACM Press and IEEE Computer Society Press;;;Computer Science Curricula 2013;;;2013
578;John Lions;;;;;http://www.lemis.com/grog/Documentation/Lions/index.html|https://www.wikidata.org/entity/Q493858;;1-57398-013-7;persons/Lions1996;2019-12-30;;;Peer-to-Peer Communications;Computer classics revisited;;Lions' Commentary on UNIX 6th Edition, with Source Code;;;1996
742;;;;Henk C. A. van Tilborg;;https://doi.org/10.1007/0-387-23483-7;;978-0-387-23473-1;reference/crypt/2005;2019-06-27;;;Springer;;;Encyclopedia of Cryptography and Security;db/reference/crypt/crypt2005.html;;2005
746;;;;Henk C. A. van Tilborg|Sushil Jajodia;;https://doi.org/10.1007/978-1-4419-5906-5;;978-1-4419-5905-8;reference/crypt/2011;2017-05-16;;;Springer;;;Encyclopedia of Cryptography and Security, 2nd Ed.;db/reference/crypt/crypt2011.html;;2011
2293;;Handbook of Ambient Assisted Living;;Achilles Kameas|Andrew Sixsmith|Jean Roberts|Juan Carlos Augusto|Julie Maitland|Michael Huch|Paul J. McCullagh|Reiner Wichert;;http://www.booksonline.iospress.nl/Content/View.aspx?piid=26497;;978-1-60750-836-6;reference/assisted/2012;2012-03-28;;;IOS Press;Ambient Intelligence and Smart Environments;db/series/aise/index.html;Handbook of Ambient Assisted Living - Technology for Healthcare, Rehabilitation and Well-being;db/reference/assisted/assisted2012.html;11;2012
2333;;Handbook of Social Network Technologies;;Borko Furht;;https://doi.org/10.1007/978-1-4419-7142-5;;978-1-4419-7141-8;reference/social/2010;2019-06-26;;;Springer;;;Handbook of Social Network Technologies and Applications;db/reference/social/social2010.html;;2010
2348;;Handbook of Research on Ubiquitous Computing Technology for Real Time Enterprises;;Iryna Gurevych|Max Mühlhäuser;0000-0003-4713-5327;https://doi.org/10.4018/978-1-59904-832-1;;9781599048321;reference/ubiqhandbook/2008;2017-06-09;;;IGI Global;;;Handbook of Research on Ubiquitous Computing Technology for Real Time Enterprises;db/reference/ubiqhandbook/ubiqhandbook2008.html;;2008
2441;;;;Wai-Kai Chen;;https://doi.org/10.1201/9781420049671;;978-0-8493-8593-3|978-1-4200-4967-1;reference/vlsi/1999;2017-05-16;;;CRC Press;;;The VLSI Handbook.;db/reference/vlsi/vlsi1999.html;;1999
2485;;Handbook of Research on Computer Mediated Communication;;Kirk St. Amant|Sigrid Kelsey;0000-0002-7897-0520;https://doi.org/10.4018/978-1-59904-863-5;;9781599048635;reference/mediated/2008;2017-06-09;;;IGI Global;;;Handbook of Research on Computer Mediated Communication (2 Volumes);db/reference/mediated/mediated2008.html;;2008
2571;;Handbook of Automation;;Shimon Y. Nof;;https://doi.org/10.1007/978-3-540-78831-7;;978-3-540-78830-0;reference/auto/2009;2019-11-12;;;Springer;Springer Handbooks;db/series/shb/index.html;Springer Handbook of Automation;db/reference/auto/auto2009.html;;2009
