journalid;name
19868;meltdownattack.com
19869;GTE Laboratories Incorporated
19870;University of California at Berkeley
19871;ANSI X3H2
19872;ANSI X2H2
19873;IWBS Report
19874;LILOG-Report
19875;LILOG-Memo
19876;IBM Publication
19877;Research Report / RJ / IBM / San Jose, California
19878;Research Report / G / IBM / Cambridge Scientific Center
19879;Universität Trier, Mathematik/Informatik, Forschungsbericht
19880;Technical Report
19881;Digital System Research Center Report
19882;Compulog Newsletter
19883;Hydrology and Earth System Sciences
19884;Technical Rep. UKSC 0060, IBM United Kingdom Scientific Centre
19885;ETH Zurich, Department of Computer Science / Technical Report
