work;author
0;11343
1;11343
0;11344
1;11344
0;11345
1;11345
0;11346
1;11346
0;11347
1;11347
0;11348
1;11348
0;11349
1;11349
0;11350
1;11350
0;11351
1;11351
0;11352
1;11352
3;11353
6;11353
7;11353
9;11353
10;11353
11;11353
12;11353
13;11353
4;11354
4;11355
15;11355
12;11356
5;11356
5;11357
5;11358
14;11358
8;11359
12;11359
8;11360
8;11361
9;11362
14;11363
16;11364
20;11364
16;11365
17;11366
19;11366
17;11367
19;11367
17;11368
19;11368
17;11369
18;11370
21;11371
32;11372
196;11372
229;11372
169;11372
42;11372
178;11372
211;11372
181;11372
22;11372
123;11372
31;11372
23;11373
131;11374
143;11374
48;11374
150;11374
23;11374
191;11374
148;11375
149;11375
150;11375
24;11375
163;11375
166;11375
44;11375
172;11375
173;11375
177;11375
51;11375
53;11375
183;11375
60;11375
190;11375
202;11375
87;11375
88;11375
235;11375
108;11375
163;11376
228;11376
102;11376
43;11376
235;11376
173;11376
156;11376
53;11376
150;11376
87;11376
24;11376
183;11376
218;11376
60;11376
24;11377
191;11377
25;11378
105;11378
25;11379
98;11380
39;11380
208;11380
25;11380
62;11380
26;11381
58;11381
143;11381
32;11382
41;11382
179;11382
27;11382
31;11382
27;11383
28;11384
46;11385
176;11385
117;11385
185;11385
28;11385
65;11386
143;11386
82;11386
89;11386
29;11386
194;11387
239;11387
30;11387
143;11387
40;11388
42;11388
253;11388
94;11388
31;11388
35;11389
582;11389
574;11389
41;11389
115;11389
572;11389
94;11389
31;11389
41;11390
129;11390
31;11390
32;11391
248;11391
34;11392
72;11392
108;11392
241;11392
88;11392
122;11392
157;11392
128;11393
130;11393
36;11393
139;11393
207;11393
247;11393
37;11394
69;11395
166;11395
38;11395
232;11395
177;11395
51;11395
212;11395
91;11395
223;11395
66;11396
40;11396
170;11396
143;11396
150;11396
191;11396
99;11397
43;11397
131;11397
102;11397
45;11398
46;11399
47;11400
49;11401
143;11401
50;11402
174;11402
100;11403
145;11403
138;11403
52;11403
54;11404
84;11405
55;11405
56;11406
56;11407
78;11407
239;11408
182;11408
56;11408
221;11408
159;11408
56;11409
161;11409
57;11410
163;11411
68;11411
72;11411
201;11411
143;11411
144;11411
150;11411
59;11411
127;11411
153;11412
106;11412
61;11412
195;11413
62;11413
98;11414
62;11414
207;11415
134;11415
63;11415
64;11416
66;11417
83;11417
67;11418
227;11419
140;11419
189;11419
70;11419
199;11420
76;11420
71;11420
76;11421
71;11421
73;11422
74;11423
222;11423
75;11424
133;11424
75;11425
164;11425
213;11425
224;11426
113;11426
75;11426
156;11427
90;11427
76;11427
77;11428
237;11429
79;11429
237;11430
79;11430
80;11431
132;11431
81;11432
81;11433
155;11433
227;11434
84;11434
189;11434
84;11435
175;11435
85;11436
249;11437
86;11437
191;11437
168;11438
89;11438
92;11439
188;11440
93;11440
151;11440
96;11441
220;11441
101;11441
97;11442
98;11443
98;11444
100;11445
103;11446
104;11447
3721;11447
576;11448
580;11448
581;11448
104;11448
584;11448
125;11448
570;11448
571;11448
573;11448
575;11448
104;11449
104;11450
240;11450
155;11450
107;11451
2294;11451
109;11452
111;11453
112;11454
114;11455
171;11455
251;11455
116;11456
116;11457
118;11458
119;11459
130;11460
204;11460
242;11460
150;11460
119;11460
152;11460
120;11461
121;11462
165;11462
124;11463
125;11464
125;11465
125;11466
125;11467
126;11468
230;11468
219;11469
127;11469
131;11470
163;11470
197;11470
201;11470
183;11470
132;11471
2540;11471
143;11471
133;11472
135;11473
136;11474
137;11475
240;11476
137;11476
141;11477
143;11478
143;11479
143;11480
146;11481
147;11482
172;11483
148;11483
152;11484
154;11485
154;11486
154;11487
233;11488
155;11488
155;11489
158;11490
158;11491
160;11492
162;11493
163;11494
183;11494
208;11495
167;11495
172;11496
216;11497
174;11497
174;11498
174;11499
177;11500
202;11500
190;11500
180;11501
184;11502
255;11502
185;11503
243;11503
4513;11503
205;11503
186;11504
187;11505
190;11506
193;11507
195;11508
244;11509
197;11509
198;11510
199;11511
199;11512
199;11513
199;11514
199;11515
199;11516
200;11517
202;11518
203;11518
204;11519
206;11520
209;11521
231;11521
210;11522
213;11523
214;11524
215;11525
217;11526
225;11527
226;11528
227;11529
229;11530
231;11531
233;11532
234;11533
237;11534
237;11535
238;11536
240;11537
244;11538
245;11539
246;11540
250;11541
250;11542
252;11543
254;11544
254;11545
255;11546
256;11547
257;11548
294;11548
520;11548
330;11548
369;11548
500;11548
380;11548
258;11549
258;11550
482;11550
428;11550
526;11550
527;11550
469;11550
281;11551
259;11551
276;11551
303;11551
385;11552
513;11552
260;11552
518;11552
392;11552
521;11552
271;11552
274;11552
402;11552
530;11552
405;11552
533;11552
407;11552
408;11552
535;11552
536;11552
284;11552
285;11552
412;11552
542;11552
543;11552
290;11552
293;11552
422;11552
424;11552
429;11552
430;11552
435;11552
439;11552
313;11552
315;11552
318;11552
321;11552
328;11552
331;11552
460;11552
334;11552
465;11552
472;11552
474;11552
347;11552
475;11552
477;11552
350;11552
478;11552
352;11552
486;11552
360;11552
488;11552
492;11552
367;11552
377;11552
378;11552
511;11552
385;11553
290;11553
260;11553
422;11553
542;11553
328;11553
521;11553
537;11553
315;11553
285;11553
478;11553
511;11553
331;11554
260;11554
422;11554
271;11554
449;11555
515;11555
356;11555
261;11555
454;11555
296;11555
429;11555
463;11555
371;11555
470;11555
508;11555
382;11555
456;11556
289;11556
414;11556
262;11556
481;11557
453;11557
263;11557
265;11557
297;11557
496;11557
529;11557
307;11557
531;11557
312;11557
348;11557
447;11557
417;11558
516;11558
264;11558
425;11558
338;11558
504;11558
444;11558
264;11559
417;11559
376;11559
266;11560
437;11560
267;11561
267;11562
443;11562
514;11563
504;11563
394;11563
267;11563
336;11563
406;11563
376;11563
443;11563
320;11564
512;11564
544;11564
323;11564
324;11564
388;11564
545;11564
547;11564
4644;11564
268;11564
332;11564
431;11564
432;11564
339;11564
499;11564
342;11564
446;11564
383;11564
320;11565
544;11565
547;11565
388;11565
324;11565
4644;11565
268;11565
332;11565
432;11565
499;11565
446;11565
268;11566
390;11567
269;11567
270;11567
277;11567
409;11567
411;11567
419;11567
420;11567
548;11567
295;11567
433;11567
445;11567
317;11567
319;11567
322;11567
451;11567
455;11567
459;11567
466;11567
346;11567
494;11567
272;11568
321;11569
486;11569
488;11569
521;11569
334;11569
274;11569
402;11569
435;11569
439;11569
378;11569
412;11569
350;11569
543;11569
353;11570
387;11570
485;11570
391;11570
333;11570
398;11570
400;11570
370;11570
275;11570
403;11570
468;11570
344;11570
540;11570
387;11571
391;11571
333;11571
398;11571
400;11571
370;11571
275;11571
403;11571
468;11571
344;11571
540;11571
506;11572
275;11572
275;11573
8635;11574
8854;11574
278;11574
6393;11574
5787;11574
278;11575
7865;11576
278;11576
278;11577
389;11578
393;11578
396;11578
279;11578
283;11578
550;11578
552;11578
305;11578
448;11578
452;11578
337;11578
473;11578
345;11578
354;11578
6629;11578
366;11578
498;11578
373;11578
501;11578
280;11579
341;11579
280;11580
288;11580
341;11580
384;11581
386;11581
418;11581
471;11581
426;11581
490;11581
493;11581
462;11581
335;11581
368;11581
436;11581
343;11581
440;11581
282;11581
541;11581
510;11581
282;11582
462;11582
335;11582
465;11583
535;11583
408;11583
284;11583
477;11583
543;11583
464;11584
361;11584
509;11584
286;11584
358;11585
287;11585
288;11586
342;11586
290;11587
392;11587
521;11587
430;11587
536;11587
505;11587
318;11587
328;11588
290;11588
