id;name;org
2147737326;Doo-Hwan Bae;Qingdao University
2504038831;Daniel L. Thomas;Chair of Information Systems IV, University of Mannheim, Mannheim, Germany,Institute for Enterprise Systems, University of Mannheim, Mannheim, Germany#TAB#
2007383746;Shyh Wei Teng;CNRS, UMR 7039, CRAN - Université de Lorraine, France#TAB#
2306001489;A. Tuozzi;Ecole Polytechnique
2273196592;Yueh-Min Huang;Bibliotheque National de France#TAB#
239998554;Hanifa Boucheneb;INESC-ID, IST, Technical University of Lisbon, Lisboa, Portugal
2112196210;Henning Müller;School of Computing and Mathematics, University of Derby, Derby, U.K.#TAB#
2016207319;Daowen Qiu;Department of Automatic Control and Information Technology, Cracow University of Technology, Cracow, Poland#TAB#
2495677018;Matthew Wallis;Gippsland School of Information Technology, Monash University, Australia, Email: {shyh.wei.teng, kaiming.teng}@infotech.monash.edu.au
2779758332;Jean-Gabriel Ganascia;University of Porto
1979876342;Ivo Grosse;Institute of Electrical and Electronics Engineers
2184456879;Radko Mesiar;School of Computer Science and Technology, Shandong University, Jinan, China, Shandong Youth University of Political Science, Jinan, China#TAB#
216611935;Catherine Plaisant;Center of Math Computing and Software Engineering Zhejiang, Sci-Tech University Hangzhou, Zhejiang, China
2137251267;Kup-Sze Choi;FernUniversitat in Hagen
2985691048;Alexander Hilliger von Thile;UNIVERSITY OF AVEIRO
2305260618;Weilin Luo;School of Information Science Japan Advanced Institute of Science and Technology
2490847381;Wen-Chi Hou;Fukuoka Institute of Technology
2985454178;Elisa Bertino;University of california at San Diego
2132409321;Marinos Themistocleous;Univ. of Evora
1215146045;Véronique Donzeau-Gouge;Tianjin Normal University
2171914995;Ana Cristina Bicharra Garcia;Universität Osnabrück
2499413619;Jing Tan;University of Białystok
2278499221;Wenjing Lv;Department of Biology, University of Florida#TAB#
1985083210;Nathan T. Hjelm;University of california, Los Angeles
1991518691;James Pustejovsky;University of Massachusetts: Amherst, Amherst, MA
2115272096;Robert O. Briggs;, University of Memphis
244126243;Hubert L. Dreyfus;Department of Image Processing and Computer Graphics, University of Szeged, Szeged, Hungary
2400212558;Omnia Ossama Hoda;Carnegie Mellon University, Pittsburgh Pa
2084170874;Darshana Sedera;EPFL, Lausanne, Switzerland, Verimag/CNRS, Gières, France
2680904877;Wen Ge;Deutsches Forschungszentrum für Künstliclie Intelligenz GmbH, Saarbrucken 11, Germany#TAB#
2794687502;Jian Cheng;MIT, Manipal University
2790357159;Italo Epicoco;Unitec  Institute of Technology
2629274443;Javier Caminero;universitat Politecnica de Catalunya
1969669207;Michael Eberhardt;Lodz University of Technology
2402885257;Nishima Gakhar;Institute of Automation, National Laboratory of Pattern Recognition, Beijing, P.R. China#TAB#
2054211819;Jakob Wasza;Wrocław University, of Technology
2707337078;Zining Cao;Hebei University of Engineering Institute of Architecture
73196851;Sylvie Coste-Marquis;Department of Electrical Engineering Faculty of Engineering, Kyoto University, Kyoto, Japan
2006696304;Sally I. McClean;"University of Angers;"
2634420145;Minyong Shi;Computer Laboratory University of Cambridge, Cambridge, England
2156669489;Zhengyan Zhang;Hebei United Universtiy
