references;referenced
67582;140362
27301;1426774
1144321;749663
1096736;1270031
274954;594905
1518885;111790
161955;1056348
1721622;574966
626168;1699565
293295;274816
1671437;463804
1072516;373515
155814;1709002
403334;1145009
620598;1650738
911753;1568173
998294;1369647
1057596;1670791
33279;853457
1455769;1275901
1444155;1716356
44486;190289
844961;378968
15335;1358953
1185599;71126
1449637;1521632
777721;356562
411407;1709002
1304089;1424008
1724306;1145009
1752984;449364
171057;1460658
1368350;1095886
988813;1466209
1449637;994405
350626;1576864
529478;1089315
1533899;720048
1449118;1427644
826519;357869
372240;16160
624282;918870
1431982;1395493
804384;38130
598789;1223409
62477;867361
585590;1574828
860825;847042
852957;268343
1224371;789097
1094945;401435
1604754;1316039
1817027;1257742
642410;1581934
373515;628729
21805;366206
581576;1714427
1027884;130022
1106092;652234
777721;361368
1604202;671761
1431982;1645939
539040;609356
1534806;1408385
1040562;573701
1512767;759219
270373;1713610
985419;1083924
1814502;1309347
43565;1469167
309476;1689216
392052;442490
1429480;43929
310749;1000462
419665;1460658
1242355;1670048
1189345;1521045
1114199;1194496
456073;1307349
65230;1527533
293295;404804
681381;1696001
1766988;956042
578238;1363407
60318;1307992
1131059;679924
630671;15901
155524;1770742
1781265;40449
1482588;985419
1348457;1705659
1460658;1494332
1733407;535179
82554;826519
13205;739243
159118;29521
1519294;1518885
1250181;1658827
74687;702972
1396500;72147
1446810;536083
1568722;658272
557480;1257742
1656258;1104220
418674;602342
215741;28916
895989;770098
1645932;848847
1197573;474464
396328;71126
1291882;1442736
994405;55078
1495587;245881
1645932;1448639
1331844;1803942
162019;92058
822868;503214
329271;396995
1006438;1606389
147329;506323
657635;1344391
1007187;1766988
382732;71126
1028584;1189345
354571;313083
594905;81804
1221507;880700
360864;75756
1105437;1031492
573916;176769
164784;385606
192912;654655
855327;149844
1521045;444896
1074404;1467391
1697743;808287
716692;1568173
288456;1221507
1658645;988813
1072499;603151
755599;709763
1223967;1766988
1472329;117599
167889;1399713
1472067;117599
1319706;986644
121829;1275901
851637;804069
1237346;1418546
1506965;1736712
1456491;505060
1347062;1418546
972044;291511
1732060;815469
731109;29332
444077;754613
278644;1048746
397387;1017254
433428;1557874
44505;373515
813000;1733407
1174532;901073
1269501;971366
1576864;895989
1297928;1288969
1658645;1460658
842405;767427
27301;899173
579773;1131059
1766699;1627759
1657854;703774
658766;316117
1203077;77161
843524;506156
746710;1563857
416007;658272
1216968;617844
630671;959509
1159246;732615
1656258;1119309
164784;1636197
1299839;1363407
557224;1103655
1424318;1441168
1132564;1152767
273782;372240
354644;477134
217021;915898
958059;572518
278644;137649
1022019;1810017
1006438;1436831
1619002;260539
164367;584704
1041107;671761
695317;1449437
809930;1352185
