name;type
International Conference on Grid and Distributed Computing;C
Symposium on Experimental and Efficient Algorithms;C
OTM Conferences (1);C
AES Candidate Conference;C
Italian Research Conference on Digital Library Management Systems;C
2nd International Conference on Advances in Computing and Information Technology, ACITY 2012;C
Contexts;J
Logic in Computer Science;C
SLP;C
Information Research;J
Computer Aided Verification;C
International Conference on Intelligent Computer Mathematics;C
International Conference on Smart Homes and Health Telematics;C
International Conference on Artificial Intelligence;C
AECIA;C
Research Challenges in Information Science;C
International Workshop on OpenMP;C
European Journal of Operational Research;J
VVEIS;C
Journal of Information Science and Engineering;J
Network and Distributed System Security Symposium;C
"OTM Confederated International Conferences ""On the Move to Meaningful Internet Systems""";C
Integrated Uncertainty in Knowledge Modelling;C
International Conference on Wireless Mobile Communication and Healthcare;C
International Conference on Web Information Systems and Technologies;C
Genetic and Evolutionary Computation Conference;C
Order;J
JTASPEFT/WSA;C
CICM'12 Proceedings of the 11th international conference on Intelligent Computer Mathematics;C
European Conference on Pattern Languages of Programs;C
International Conference on Informatics in Control, Automation and Robotics;C
SIAM Conference on Parallel Processing for Scientific Computing;C
International Conference on Formal Engineering Methods;C
Computing and Combinatorics Conference;C
Non-Monotonic Reasoning;C
IEEE Intelligent Systems;J
Foundations of Computer Science;C
The Web Conference;C
MMOSS;C
IEEE Internet Computing;J
ERSA;C
MIKE;C
POS;C
Theory and Application of Cryptographic Techniques;C
International Conference on Haptic and Audio Interaction Design;C
Robotersysteme;J
Wired/Wireless Internet Communications;C
WSCG (Posters);C
International Conference on Multimedia, Computer Graphics, and Broadcasting;C
Modelling, Simulation, and Optimization;C
Wireless Personal Multimedia Communications;C
Computer Performance and Reliability;C
Conference on Multimedia Modeling;C
International Conference on Structural Information and Communication Complexity;C
Field Programmable Gate Arrays;C
SPLST;C
CDES;C
Decision Support Systems;C
TAG+;C
Elearn;J
Proceedings of the 3rd Intermational Conference on Broadband Islands: Connecting with the End-User;C
Logic Programming and Non-Monotonic Reasoning;C
"Proc. 15&egrave;mes Journ&eacute;es Bases de Donn&eacute;es Avanc&eacute;es, BDA";C
Building tightly integrated software development environments;C
International Conference on Online Communities and Social Computing;C
International Computer Music Conference;C
Communications in computer and information science;J
Essen Symposium;C
international conference on Genetic algorithms;C
CCF National Conference on Compujter Engineering and Technology;C
Intelligent Autonomous Systems;C
International Symposium on Circuits and Systems;C
Advances in Computing and Communications;C
Parallel Computing;C
Information Security for South Africa;C
Industrial and Engineering Applications of Artificial Intelligence and Expert Systems;C
