author;publication
2063147752;988004
2121858404;559767
2142126378;1534806
2227406975;1689216
2100069631;1664829
2026882024;1655577
2463555713;54972
2255651068;964096
249098118;212029
2097392627;458772
2324748353;533918
2057421625;695317
2683892486;416007
288236523;836707
2240848721;1397698
2306205450;573701
2987644470;270053
2642604683;1485153
2018707986;505060
2046074115;1530546
2012069470;562991
1978147941;858685
2095648497;998294
2624927592;720048
2722697026;253597
246665549;111790
249930128;192912
2113542924;1140292
2623033874;375225
1129394042;523061
2108061981;435147
2559804696;567418
2181654943;345707
2678506758;914608
2709132100;349990
2122043446;469815
2160661412;690996
2694530130;646095
2123481766;1089315
2120695760;1035038
2528071304;1137530
2681149188;411407
2406678114;1530371
2343177003;1406868
2759949517;134560
2572163857;474464
2110539615;1750090
885249385;192912
2144794794;1560863
2031152454;81804
2028594073;875054
2255612335;1131059
2691648441;583487
1972486590;1131715
255299781;1679810
2007383746;217802
2298234020;21951
2630107268;1714427
2121637297;843123
2132997023;407825
2142887954;620598
100748767;44505
253204034;1703908
2973983526;505558
2124127352;245881
2532510059;41674
1966189204;761799
1235852699;1040121
2305826094;1083725
2222313980;181847
101600380;164784
2566341294;374795
2794929334;138457
2003202025;844961
29033585;1287788
2933488322;1464495
2303195425;1253795
2097596306;1605552
2801851538;298915
58165029;418674
391067704;1466209
2313560929;404804
2111521689;1778470
2789997808;94630
2329078478;224492
1252119309;562665
2131933706;414512
2711912513;356512
2147277912;1203397
2060758688;1515229
1929739754;221938
2118939179;804141
2699965542;268777
2196778472;1218774
2109298060;708858
2125701541;987013
2055683646;1527892
2156211928;1275901
17064567;585590
2711842128;848847
2658711646;72095
2628698351;309696
2338813912;853273
2425818370;1688
2103124409;1013863
2696834393;52584
2163619555;1674447
2068146743;38917
2113752898;1032800
2710197331;52584
2777201498;1363538
2121684553;385951
2124536072;372956
2111548735;760576
2127038590;912575
2128185928;66914
2102977424;579573
1966456890;1261299
1910201040;93427
99906763;1200926
2138465692;107151
206660109;843123
135441323;796746
2396087214;1446810
2250270171;155524
2061116030;1057596
1220847850;29521
2163985890;1552804
1342610267;1549905
2069465661;129505
2483940236;1546088
2097375206;633195
2245046884;1119309
2279423641;1034194
2305037824;221287
2798424333;1575397
2027928921;1632518
2159139834;1549441
2102047142;1645932
2134386712;1807198
2182731144;350626
2785485191;1055406
2147294894;1669984
2239016892;1147305
2152323375;700355
2335449142;824020
298400862;1411852
2710583092;1446963
2655719536;620598
1723369513;1668647
2306237283;127103
2076226297;144733
2949487255;1789024
72026323;458772
2402300612;1269823
2435751034;628035
2141316474;915898
2134373885;537828
2164737490;1057596
2626454983;1448195
320932408;1703908
2630464361;1127822
1966996865;836707
2494964231;1464495
1987835416;1656258
738035101;505060
2158781266;1605645
2579341158;16160
2018008661;499848
2109336725;1347185
2008578578;331231
2312688602;1091
2174045948;1405747
2318310288;15548
2655612286;938534
2781375529;564427
2631471329;1733407
2789274179;309476
83198093;425490
2082577480;695700
2065201609;1333158
2632945697;529478
1204625948;237040
279913708;562589
2162107187;946913
2310144072;932773
2073859532;1228939
2230604644;1679128
2595684962;341636
2163150924;108831
2037466936;1218774
2566630117;1472067
2985668507;455583
1230544858;826519
2295051819;1302035
2089784277;1249622
2110594664;1712050
2143882720;193554
2443910113;749663
2810083571;967909
2402322626;427331
2586853120;177064
1991083601;1057596
2093774416;1103989
99131486;425490
2107922458;297283
2021870168;1703908
2051416669;581576
2612659008;708858
226912599;535049
2068190112;149980
2311599331;824020
2134538685;598832
2079150322;1635983
2616136787;1807198
2133545523;1295707
2103596710;610574
2303301998;681012
2687845625;1102462
2892629193;762790
1237105379;1608965
2682619595;1549638
2128591302;653893
14660048;833112
2125370976;385984
202702011;813000
2254214455;229287
2308424824;1239507
2112029341;705233
2161188016;408374
2405588340;234105
2102191007;505292
2680904877;739243
1955771990;1235417
2570299818;510479
2309445653;1595122
2141589116;192821
2688717082;379597
2075066685;14870
716314097;1364731
2972407132;217021
200636940;487783
2144459651;1227380
2000554416;1423516
2064022781;24270
2401948747;1524040
2303522761;573567
2030848259;1292974
2523428486;69894
2039377645;1032800
1995577019;1494232
2717410669;190289
1972617521;1655064
2717591568;901870
2154712571;1276130
2299437711;1581016
1161306047;1609104
2141676470;803423
2159120860;5411
2433987446;55078
2546442627;309773
23672645;1403418
2161163696;193554
2026678996;182337
2400393373;1041107
2105361732;1424008
2306857274;771368
2033214668;451916
2209481840;1264496
2128075162;1792112
150302470;456320
2138715930;316117
141314290;317670
88536315;648385
2172047718;896825
2137307308;792443
2276627379;1365159
2278806803;1295694
2231219524;1580328
2562899466;1071939
2516285146;1095886
2684781975;1428698
2157185773;43287
2437535445;490186
1522889589;691667
189277960;1537870
2265741403;93427
2000758175;456320
189712000;1466306
2897906927;849475
2034044588;348088
247677246;287947
2100760563;637774
2293248550;1314966
683293601;633195
2973443450;1139486
2134803203;1518885
2130387140;1496815
2109304222;1527892
2590065162;270053
2098657012;1299839
2114101466;1380946
2308479670;1029012
2257765142;153917
2625921453;320228
2632525422;1705659
1990451614;385572
1850417542;1014487
2705242701;119821
2513695606;746710
2121184580;1817027
2403841916;1635677
2150291205;212088
2092133563;946913
2665860453;1415382
2307508930;193006
2234427516;1509457
140398001;787986
2324027522;140362
2103636590;1039487
1981925485;986644
55829905;849468
2608518849;511601
2481405770;338585
2152751312;1396500
2159769431;1815792
1555495856;630671
2156149106;1268785
2115450241;1382853
2616368196;1013871
2250654423;360435
2794299195;80570
2070578215;1186722
2715481619;441923
2437494827;188435
2309766215;918870
2168042903;1295694
2026814246;1466209
2102707969;1227380
1992137730;1270031
1222429179;872221
2640608508;832393
2090109395;1218774
2211932647;668708
2029863728;1634188
160465655;1655456
857836742;933276
2591160275;653311
2120177621;855327
2068190112;1788602
2679314443;473870
2023287611;961605
2128204244;380549
2603683081;972195
224712805;59226
2101160460;1561863
2006696304;608567
2695526412;1671437
2708618917;1292974
2197689560;562589
2171900220;1549905
1971955132;1311723
2518645713;842930
2150352244;997982
2555091219;148875
2345510859;217368
2184722254;1317116
2789909791;506156
2974090105;899480
381932430;40380
2400212558;1596311
170944239;859940
2152131012;182605
2264914315;1235417
2772138682;1082713
2094029818;1183563
268350945;745926
2675029906;43565
213229332;1304089
2306469283;226082
2113536344;356647
2029252525;111538
2137449530;35479
2586392733;792443
2488914844;1581160
2022840042;794766
2395550538;1061858
2683827842;205867
2165633131;128280
1987636418;294493
2491294600;886613
2898445212;1268304
2097152223;1277066
1558611138;1515229
2133835758;1508438
1070366637;279698
2297812180;1280042
1255761105;905794
2193131105;1017985
2494034720;1032800
2334230920;433966
2343936063;597714
2640639381;1494232
2139762218;916140
2336405936;1354731
2721785094;1420181
2561266694;121590
1255203059;78484
133907683;1288969
2338018709;714243
2482785655;310749
2018993203;111538
1975484910;425490
2016301946;932773
740622054;533285
2036462668;35048
2059436065;258746
2163357967;1676423
2135063632;57330
2103800107;392408
2163867762;1605552
2102561201;1203077
2603487329;980020
2573381898;1032426
2246336403;268343
2161933239;120343
2097035843;279698
1979934276;329271
322202385;1148152
2639741509;74721
2974305466;547392
2157647328;573567
717114848;512839
2118572917;563404
2642066510;832393
2403136546;604005
2497210749;1105437
2042800127;120828
2479660905;937516
2117784839;985419
2402421012;1193714
2304723528;65220
2718812080;1287788
70717222;121829
2711770835;1770742
2310024502;338585
2632019961;675534
2168806630;490876
2091107257;954827
100379382;1078554
2108671403;361876
2658959481;1715589
2151190581;1024814
2703493492;860825
2424768684;937946
2721798310;1633124
2106285415;743434
2665411156;1781265
2170218621;856447
2097955466;136660
111858739;469256
2402994217;140240
1982621187;1321008
383143893;267718
2168418581;1549602
2988469027;1393252
320828501;1062261
2076916518;636784
2754166851;421533
330863359;721413
2578520494;396995
2118868952;1422719
2657365233;935063
2130129451;670148
2232636173;1010600
2118420981;223002
244126243;775384
2694989073;398077
2009299615;215274
2305971183;490820
2122663543;385951
210321617;212029
2938127468;1396951
2519402967;749663
2308526200;1494849
96527068;1137975
2573162414;852620
2227179673;929837
2165638021;1622774
2429702140;671169
2395433152;1245134
2125584589;1527533
2401506969;511601
2123785096;1368350
2681320781;985035
2722472705;1032426
2579189985;1240813
2321233155;1373283
2700055908;985898
2629559641;18993
2152672761;1112477
2193858958;1185599
1970065953;1014505
2302236570;499848
303037059;52888
1260821962;372956
2309326864;358902
2129323228;603151
2290077475;1508438
1896956012;1211384
2501395329;1487729
1584001060;1681771
2157994539;35048
1964478488;1376759
2643928059;390085
2101260747;128236
2103882608;567418
2396359909;1335006
2019241556;199007
2942271224;1228939
2108129449;1139486
1983359683;120828
2680898145;31888
705491505;1177723
2087252583;1350866
2119266281;55078
2683931798;451500
2697495328;415342
1996007284;850732
327072836;637774
1465522643;1781377
2121813885;265079
2001826882;121590
2716612751;1634958
2139313784;74282
756122464;954605
1986880241;12993
2719572912;1027884
370245269;140240
2024911655;1243554
2116399464;1039240
2160056413;1024814
2677278089;1580328
1276032362;1184209
2342680731;1577540
2800695305;1216380
2422424491;1660303
2021900881;3015
2686445636;852957
2164224863;706544
2308505570;226082
2582451287;1682350
1178223413;1226208
2464600553;1354317
2124219966;1277186
2639138324;293295
2404372886;1670048
273422879;1814947
2398204498;579991
2705181826;1300333
2579768464;404804
123621675;15548
2346539398;908949
1234338103;284180
2647517102;332533
2689398046;1159557
1905423782;558617
2119244834;1693667
2165621803;1284694
2618573629;1086356
2095397023;329271
2136680303;406557
2085413767;876610
2017827391;1681771
293862447;198536
1966189204;368352
2021889967;1586710
2743955160;1516187
2123865002;1547416
683941801;164942
2586853120;563542
2269592622;1206233
2095649630;845840
1996714504;1055523
1886727067;511208
2128134587;1091
1993980736;1536770
2111002932;983431
2506291228;349990
2076129182;527403
2527145842;192821
2073083180;1032599
2098002335;642410
2102604261;1619002
2490847381;1544043
2117738327;1326468
320861845;1393252
2037450901;1296853
2171177052;773755
2659201321;1333772
1428357500;955143
337201273;1112477
2032438770;1564209
2152748675;1519294
2024163360;155358
1985083210;1039089
1986835399;706759
2148060374;39294
2190833275;35479
2171257757;221287
1255808330;214629
2053386456;800331
2634154665;1533899
2687621346;1038942
2143519154;1599876
2104467208;791572
279296317;584305
2475782658;511601
388200146;1561863
2057010244;1796824
2109272811;1477903
2627709975;52584
2596517932;1404390
2636438277;566695
2100714618;988455
2112234008;1235417
2399569618;1096597
2032531166;1645439
2220567936;1353223
2132292582;789711
2488622137;424836
2675339084;1530371
2715227288;1345177
2297564775;291511
2101926452;1699565
2130868104;376474
2153003270;1549602
2673365069;1119501
2150830042;1638427
2705821204;1808105
2040607855;346441
2296612286;882228
2397782009;140240
2239823754;1380946
2893391628;360435
2106295919;1261299
2702782794;1721622
2149763091;352166
2655478265;332533
2384518558;1603316
2281962548;1306187
2498915582;1257742
2611774216;505558
680680422;1315694
2779154395;1667187
2501321750;846391
2118189900;1118510
2712690834;1210970
1063590995;1140107
2137666597;796041
2688457011;1643295
2973131874;187573
2686226885;682106
2034632547;143119
1757861847;344829
2396069274;379597
2672134186;6154
87081108;535049
2067869096;1366829
2281900701;8763
2123350797;29841
2175291449;1748150
2707527342;1027525
2145306503;824020
2125931034;1535111
2051582866;1601902
2104898031;505060
2134492490;1715145
59249629;1527892
268209255;1576864
2634195544;344829
2308147364;1286905
2704129774;1435009
2399682632;28916
2096091053;398077
2107487933;1250848
2041929413;1404390
2394632022;1604202
2640045358;223055
2053499123;1309515
2040210213;1147978
2097373568;1273921
1945051285;83404
2000756334;89833
2102722858;1340811
2211443602;1397698
2584126060;1600357
271117951;1661019
2110538291;29332
2524404606;608567
338142338;501892
2192797973;1375381
2634791173;1472067
2493423752;458983
24202359;44505
2658552621;734514
126515232;899173
2505290037;915898
2108185220;856447
2689822891;1198182
1891282699;842405
2665440930;984931
2482909946;1091
2099860176;916564
2152250954;665341
2126300636;246542
2941272482;277504
2152533085;482782
2101209391;1456321
2944992000;1645439
2691705323;1658385
2146642270;1813111
2134393620;1777938
2502406708;1449437
2499293681;296862
2925236431;1230471
2047091786;1668433
2172723547;419665
2140016166;1172257
284225102;161312
2496054176;932055
2434427419;630671
314690538;1788564
2183708330;1543681
2404503087;836998
2402952049;138209
2311050954;797742
2252543171;38917
2310186662;621293
2224723394;429510
2632814629;544543
2155012687;1721622
2136788661;940895
2113064548;527709
2974095105;620598
2193907057;517575
56924054;1558196
2141350668;1209436
2162022226;539040
1914769273;1781377
2123200342;1580328
383359172;1014487
2917483980;719760
2693857476;1127782
2133360447;418674
2665828980;865609
2157717251;372956
2711809541;1517802
2675650934;1560356
1713850995;1354731
2778829066;1603800
2308392011;1605429
2128840909;1693865
2030099764;1201017
239998554;1354317
2314625266;496663
2666759231;846391
1246625443;134560
2193902795;660320
2560925533;1693126
2611119541;1645439
2521478395;1616821
692045707;1274721
2671053606;356512
2505557566;1448029
2134581150;1560863
2699190036;161955
2133754977;1516187
2148112450;69894
2508948551;73348
2164344125;1817027
2438856247;1636197
2295334262;1453065
2273196592;1627762
2339964229;96560
2071027121;506156
2684059833;1517802
2059425993;796041
2097627452;1553690
2144694093;1235417
1266298143;1576864
2444174556;1655064
2474976711;865632
1991593171;1264496
2504850615;197484
2284655069;402724
2308286351;335626
1970438811;1530546
2571267122;791175
2631634379;176769
2056295772;354644
2267275822;772349
2154868525;1261299
30436958;1345177
2146401354;385984
2985951032;732615
2330105029;252754
2649581421;293295
2141952036;1702607
2171534607;38917
2503323198;819435
318022926;1362903
2138334042;1810017
2402585141;44486
2170669143;3015
2401925131;773737
2006898984;1681771
388475989;1331044
2305260618;430170
1980933316;487783
275415807;215741
2158768164;185553
220641829;1536770
2238274355;13407
2310709986;1026887
2105486404;1638427
2096573134;1536770
2009886518;1519977
2634177623;1482588
2712440719;900503
2149205969;575280
96492545;398591
2851219179;1450088
2127938695;852384
2279387292;621897
2103882821;344829
2291738190;193554
2806055360;1546088
2715989927;137780
1988561859;1341035
2058491638;490200
2665085897;35479
622054994;555508
2157782254;1442764
2568843409;1147632
2973574503;719168
2511551622;710537
2667307542;430170
2238037596;1470692
2164740951;229287
2344243335;1426046
2637199035;407825
2126064985;1557031
2145720147;407825
2108819515;832393
2144533532;730754
2130114985;681381
2145579836;255620
2160653350;845840
2119244895;1083725
2630491343;672965
2163808111;712173
2407640632;217368
2210559442;1256473
1987696343;1178595
2395546445;1287788
2010516145;1810017
2404931170;572518
2089290244;910438
1903092699;1410082
2325981017;1293411
29956401;407825
2140333546;1104569
2121475541;658766
2138512350;1239507
302998071;1666476
2163270800;93132
2168510846;164942
2987788078;75067
2988175038;137649
2122875534;1670791
1222365250;722469
2164990155;527403
1964462602;326638
2164568253;804384
2678636718;847042
2141560164;1118428
2706818149;674505
2032248569;1555794
2951106702;853457
2164216406;1796824
2345379657;1072439
2131971314;1311723
2950135461;164434
2112824059;1426667
705938495;1595122
2344316703;954827
1507166211;1279974
2162200463;1072439
2124153168;1448195
77696115;1645439
2130371940;706544
1943312276;1424008
2116244789;1010108
2198882670;1614943
1228981287;136660
93127458;10889
2005903806;237421
2723723847;28916
852303700;67582
2973385246;1115014
2963022070;723740
2664073321;929837
2681121418;1799546
1884749727;108390
2100268316;1627074
1241380139;1172845
2050752266;402724
2023232186;159118
2475030942;852449
2120455225;133296
2178644095;1709002
2572751006;1549602
1969282344;208772
2588311830;708858
2127596542;1549602
2129353193;1045904
1482108584;185553
2097921231;1692481
1892659438;688835
2465522096;121047
2525058145;1450348
2201441985;1688939
1278895136;38917
1134527061;1756334
2157783754;170076
2177307581;133150
2490405109;1329644
2652544150;1577540
2166031878;356562
2166284823;912575
187949642;258746
1923343747;1174532
2078276253;1235110
2672360672;1086356
1893252806;1632847
